Brand,Count of Number of Records
RAMBLER,2
RANGER,2
RANGEROVER,1
RAPIDO,6
RAYTON FISSORE,1
RELIANT,18
REMETZ,10
RENAULT,34943
RENAULT SAMSUNG,1
RENAULT SPORT,2
REO,1
RICKMAN,1
RILEY,3
RIMOR,3
RIMOR S.P.A.,5
ROBIN HOOD,2
ROLLER TEAM,4
ROLLS ROYCE,146
ROSENGART,4
ROVER,805
ROVIN,2
RUITER,1
SAAB,2499
SACHSENRING,3
SALMSON,2
SANTANA,9
SAVIEM-RENAULT,1
SAXON,1
SEA,4
SEAT,10066
SENECHAL,1
SHELBY,1
SHENYANG,1
SICAR,3
SIMCA,25
SIMCA-FIAT,1
SINGER,7
SKODA,12596
SMART,648
SPARTAN,3
SSANGYONG,296
STERKENS,3
STERLING,1
STEYR D PUCH,3
STEYR-PUCH,10
STUDEBAKER,12
STX,1
SUBARU,1476
SUNBEAM,11
SUPER SEVEN,1
SUPERIOR,2
SUZUKI,3492
SVC,1
SYLVA,1
SYLVA STRIKER,1
T&J HORNET,1
TALBOT,19
TATA,2
TATRA,5
TEC,4
TELCO,1
TEMPO,1
TESLA,11
TESLA MOTORS,364
THE LONDON TAXI COMPANY,1
TIGER,1
TOYOTA,29832
TOYOTA-CHINOOK,1
TRABANT,22
TRIGANO,6
TRIUMPH,585
TROJAN,1
TVR,55
U.V.A. FUGITIVE,1
UAZ,2
ULTRAVAN,1
UNIMOG,2
VALIANT,1
VAN HOOL,1
VANDEN PLAS PRINCESS,4
VAUXHALL,17
VERITAS,2
VESPA,1
VIELHAUSER MENSCH VM,2
VISSER,1
VM,4
VOLGA,2
VOLKSWAGEN,58819
VOLVO,20422
VW,5
VW-PORSCHE,23
WARSZWAWA,1
WARTBURG,16
WESTFIELD,16
WHITE,1
WIESMANN,12
WILLYS,30
WILLYS KNIGHT,1
WILLYS OVERLAND,1
WILSON,1
WINNEBAGO,2
WOLSELEY,7
ZASTAVA,7
ZEDEL,1
ZIE BIJZONDERHEDEN,9
