Gender Rank,Occupation,Gender,Individuals,Average Taxable Income $,,,,
188,Aircraft maintenance engineer - avionics,Male,2906.00,96173.00,,,,
249,Aircraft maintenance engineer - mechanical,Female,107.00,66357.00,,,,
201,Aircraft maintenance engineer - mechanical,Male,6488.00,93837.00,,,,
315,Aircraft maintenance engineer - structures,Female,13.00,61406.00,,,,
286,Aircraft maintenance engineer - structures,Male,824.00,82412.00,,,,
158,Aircraft refueller,Female,13.00,77366.00,,,,
372,Aircraft refueller,Male,592.00,74664.00,,,,
547,Airline employee - baggage handling or ground crew; Baggage handler - airline; Loadmaster - aircraft,Female,1175.00,48511.00,,,,
642,Airline employee - baggage handling or ground crew; Baggage handler - airline; Loadmaster - aircraft,Male,5851.00,54497.00,,,,
723,Airline employee - check in or ticketing; Call centre operator - bookings; Cinema attendant - selling tickets; Contact centre operator - bookings; Railway employee - ticket seller; Reservations clerk;,Female,6090.00,39847.00,,,,
762,Airline employee - check in or ticketing; Call centre operator - bookings; Cinema attendant - selling tickets; Contact centre operator - bookings; Railway employee - ticket seller; Reservations clerk;,Male,2039.00,47823.00,,,,
506,Airline employee - load controller; Freight clerk; Receiving and dispatching clerk; Shipping clerk; Transport dispatcher,Female,4801.00,50638.00,,,,
525,Airline employee - load controller; Freight clerk; Receiving and dispatching clerk; Shipping clerk; Transport dispatcher,Male,8180.00,63535.00,,,,
529,Airline steward; Flight attendant or steward,Female,8254.00,49474.00,,,,
503,Airline steward; Flight attendant or steward,Male,3216.00,65113.00,,,,
523,Alumina refinery operator; Arc welder; Die setter - metals; Furnace operator - metals; Key cutter; Kiln operator - metals; Knife sharpener; Metal press operator; Metal sprayer,Female,100.00,49801.00,,,,
468,Alumina refinery operator; Arc welder; Die setter - metals; Furnace operator - metals; Key cutter; Kiln operator - metals; Knife sharpener; Metal press operator; Metal sprayer,Male,2292.00,66934.00,,,,
458,Ambassador; Archbishop; Bishop; Correctional institution governor; Prison governor,Female,390.00,52933.00,,,,
347,Ambassador; Archbishop; Bishop; Correctional institution governor; Prison governor,Male,774.00,76755.00,,,,
291,Ambulance officer; Paramedic,Female,5128.00,63265.00,,,,
314,Ambulance officer; Paramedic,Male,9730.00,79711.00,,,,
635,Amusement centre manager,Female,197.00,43778.00,,,,
715,Amusement centre manager,Male,256.00,50039.00,,,,
535,Amusement park attendant - rides; Asbestos removalist; Fabricator - door or window - wood,Female,3838.00,49195.00,,,,
470,Amusement park attendant - rides; Asbestos removalist; Fabricator - door or window - wood,Male,27601.00,66691.00,,,,
416,Anaesthetic technician,Female,367.00,56084.00,,,,
472,Anaesthetic technician,Male,336.00,66535.00,,,,
9,Anaesthetist,Female,945.00,243582.00,,,,
14,Anaesthetist,Male,2160.00,370492.00,,,,
108,Analyst programmer,Female,1635.00,85169.00,,,,
161,Analyst programmer,Male,4828.00,99377.00,,,,
908,Animal attendant; Animal trainer (not dog or horse),Female,2803.00,31904.00,,,,
867,Animal attendant; Animal trainer (not dog or horse),Male,901.00,41877.00,,,,
