Year,Month,Gold Price,Oil Price,CPI
1988,May,455.50,17.51,117.5
1988,June,436.55,15.16,118
1988,July,436.80,16.31,118.5
1988,August,427.75,15.18,119
1988,September,396.70,13.37,119.5
1988,October,412.40,13.58,119.9
1988,November,422.60,15.32,120.3
1988,December,410.25,17.24,120.7
1989,January,394.00,17.03,121.2
1989,February,387.00,18.15,121.6
1989,March,383.20,20.19,122.2
1989,April,377.55,20.42,123.1
1989,May,361.80,19.9,123.7
1989,June,373.00,20.27,124.1
1989,July,368.30,18.31,124.5
1989,August,359.80,18.83,124.5
1989,September,366.50,20.13,124.8
1989,October,375.30,19.94,125.4
1989,November,408.15,19.89,125.9
1989,December,398.60,21.82,126.3
1990,January,415.05,22.68,127.5
1990,February,407.70,21.54,128
1990,March,368.50,20.28,128.6
1990,April,367.75,18.54,128.9
1990,May,363.05,17.4,129.1
1990,June,352.20,17.07,129.9
1990,July,372.30,20.69,130.5
1990,August,387.75,27.32,131.6
1990,September,408.40,39.51,132.5
1990,October,379.50,35.23,133.4
1990,November,384.85,28.85,133.7
1990,December,386.20,28.44,134.2
1991,January,366.00,21.54,134.7
1991,February,362.70,19.16,134.8
1991,March,355.65,19.63,134.8
1991,April,357.75,20.96,135.1
1991,May,360.40,21.13,135.6
1991,June,368.35,20.56,136
1991,July,362.85,21.68,136.2
1991,August,347.40,22.26,136.6
1991,September,354.90,22.23,137
1991,October,357.45,23.37,137.2
1991,November,366.30,21.48,137.8
1991,December,353.15,19.12,138.2
1992,January,354.10,18.9,138.3
1992,February,353.10,18.68,138.6
1992,March,341.70,19.44,139.1
1992,April,336.35,20.85,139.4
1992,May,337.50,22.11,139.7
1992,June,343.40,21.6,140.1
1992,July,357.85,21.87,140.5
1992,August,340.00,21.48,140.8
1992,September,349.00,21.71,141.1
1992,October,339.25,20.62,141.7
1992,November,334.20,19.89,142.1
1992,December,332.90,19.5,142.3
1993,January,330.45,20.26,142.8
1993,February,327.60,20.6,143.1
1993,March,337.80,20.44,143.3
1993,April,354.30,20.53,143.8
1993,May,377.45,20.02,144.2
1993,June,378.45,18.85,144.3
1993,July,401.75,17.88,144.5
1993,August,371.55,18.29,144.8
1993,September,355.50,18.79,145
1993,October,369.60,16.92,145.6
1993,November,370.90,15.43,146
1993,December,391.75,14.17,146.3
1994,January,377.90,15.19,146.3
1994,February,381.55,14.48,146.7
1994,March,389.20,14.79,147.1
1994,April,376.45,16.9,147.2
1994,May,387.60,18.31,147.5
1994,June,388.25,19.37,147.9
1994,July,384.00,20.3,148.4
1994,August,385.75,17.56,149
1994,September,394.85,18.39,149.3
1994,October,383.85,18.19,149.4
1994,November,383.10,18.05,149.8
1994,December,383.25,17.76,150.1
1995,January,374.90,18.39,150.5
1995,February,376.40,18.49,150.9
1995,March,392.00,19.17,151.2
1995,April,389.75,20.38,151.8
1995,May,384.30,18.89,152.1
1995,June,387.05,17.4,152.4
1995,July,383.35,17.56,152.6
1995,August,382.35,17.84,152.9
1995,September,384.00,17.54,153.1
1995,October,382.65,17.64,153.5
1995,November,387.80,18.18,153.7
1995,December,387.00,19.55,153.9
1996,January,405.55,17.74,154.7
1996,February,400.65,19.54,155
1996,March,396.35,21.47,155.5
1996,April,391.30,21.2,156.1
1996,May,390.55,19.76,156.4
1996,June,382.00,20.92,156.7
1996,July,385.30,20.42,157
1996,August,386.45,22.25,157.2
1996,September,379.00,24.38,157.7
1996,October,379.50,23.35,158.2
1996,November,371.30,23.75,158.7
1996,December,369.25,25.92,159.1
1997,January,345.50,24.15,159.4
1997,February,358.60,20.3,159.7
1997,March,348.15,20.41,159.8
1997,April,340.15,20.21,159.9
1997,May,345.60,20.88,159.9
1997,June,334.55,19.8,160.2
1997,July,326.35,20.14,160.4
1997,August,325.35,19.61,160.8
1997,September,332.10,21.18,161.2
1997,October,311.40,21.08,161.5
1997,November,296.80,19.15,161.7
1997,December,290.20,17.64,161.8
1998,January,304.85,17.21,162
1998,February,297.40,15.44,162
1998,March,301.00,15.61,162
1998,April,310.70,15.39,162.2
1998,May,293.60,15.2,162.6
1998,June,296.30,14.18,162.8
1998,July,288.85,14.21,163.2
1998,August,273.40,13.34,163.4
1998,September,293.85,16.14,163.5
1998,October,292.30,14.42,163.9
1998,November,294.70,11.22,164.1
1998,December,287.80,12.05,164.4
1999,January,285.40,12.75,164.7
1999,February,287.05,12.27,164.7
1999,March,279.45,16.76,164.8
1999,April,286.60,18.66,165.9
1999,May,268.60,16.84,166
1999,June,261.00,19.29,166
1999,July,255.60,20.53,166.7
1999,August,254.80,22.11,167.1
1999,September,299.00,24.51,167.8
1999,October,299.10,21.75,168.1
1999,November,291.35,24.59,168.4
1999,December,290.25,25.6,168.8
2000,January,283.30,27.64,169.3
2000,February,293.65,30.43,170
2000,March,276.75,26.9,171
2000,April,275.05,25.74,170.9
2000,May,272.25,29.01,171.2
2000,June,288.15,32.5,172.2
2000,July,276.75,27.43,172.7
2000,August,277.00,33.12,172.7
2000,September,273.65,30.84,173.6
2000,October,264.50,32.7,173.9
2000,November,269.10,33.82,174.2
2000,December,274.45,26.8,174.6
2001,January,264.50,28.66,175.6
2001,February,266.70,27.39,176
2001,March,257.70,26.29,176.1
2001,April,263.20,28.46,176.4
2001,May,267.50,28.37,177.3
2001,June,270.60,26.25,177.7
2001,July,265.90,26.35,177.4
2001,August,273.00,27.2,177.4
2001,September,293.10,23.43,178.1
2001,October,278.75,21.18,177.6
2001,November,275.50,19.44,177.5
2001,December,276.50,19.84,177.4
2002,January,282.30,19.48,177.7
2002,February,296.85,21.74,178
2002,March,301.40,26.31,178.5
2002,April,308.20,27.29,179.3
2002,May,326.60,25.31,179.5
2002,June,318.50,26.86,179.6
2002,July,304.65,27.02,180
2002,August,312.80,28.98,180.5
2002,September,323.70,30.45,180.8
2002,October,316.90,27.22,181.2
2002,November,319.05,26.89,181.5
2002,December,347.20,31.2,181.8
2003,January,367.50,33.51,182.6
2003,February,347.45,36.6,183.6
2003,March,334.90,31.04,183.9
2003,April,336.75,25.8,183.2
2003,May,361.40,29.56,182.9
2003,June,346.00,30.19,183.1
2003,July,354.75,30.54,183.7
2003,August,375.60,31.57,184.5
2003,September,388.00,29.2,185.1
2003,October,386.25,29.11,184.9
2003,November,398.35,30.41,185
2003,December,416.25,32.52,185.5
2004,January,399.75,33.05,186.3
2004,February,395.85,36.16,186.7
2004,March,423.70,35.76,187.1
2004,April,388.50,37.38,187.4
2004,May,393.30,39.88,188.2
2004,June,395.80,37.05,188.9
2004,July,391.40,43.8,189.1
2004,August,407.25,42.12,189.2
2004,September,415.65,49.64,189.8
2004,October,425.55,51.76,190.8
2004,November,453.40,49.13,191.7
2004,December,435.60,43.45,191.7
2005,January,422.20,48.2,191.6
2005,February,435.50,51.75,192.4
2005,March,427.50,55.4,193.1
2005,April,435.70,49.72,193.7
2005,May,414.45,51.97,193.6
2005,June,437.10,56.5,193.7
2005,July,429.00,60.57,194.9
2005,August,433.25,68.94,196.1
2005,September,473.25,66.24,198.8
2005,October,470.80,59.76,199.1
2005,November,495.65,57.32,198.1
2005,December,513.00,61.04,198.1
2006,January,568.75,67.92,199.3
2006,February,556.00,61.41,199.4
2006,March,582.00,66.63,199.7
2006,April,644.00,71.88,200.7
2006,May,653.00,71.29,201.3
2006,June,613.50,73.93,201.8
2006,July,632.50,74.4,202.9
2006,August,623.50,70.26,203.8
2006,September,599.25,62.91,202.8
2006,October,603.75,58.73,201.9
2006,November,646.70,63.13,202
2006,December,632.00,61.05,203.1
2007,January,650.50,58.14,203.44
2007,February,664.20,61.79,204.23
2007,March,661.75,65.87,205.29
2007,April,677.00,65.71,205.9
2007,May,659.10,64.01,206.76
2007,June,650.50,70.68,207.23
